subject_id,exp_dur,assessment_val,interest_val,assessment_dur,interest_dur
734109327,0:40:01,2,5,3456,3577
734109327,0:40:01,2,5,4365,2841
734109327,0:40:01,2,5,3338,4035
734109327,0:40:01,3,5,5158,11311
734109327,0:40:01,3,4,4612,20815
734109327,0:40:01,3,5,3140,3881
734109327,0:40:01,5,4,3210,3689
734109327,0:40:01,5,4,2515,3798
734109327,0:40:01,5,5,2017,4283
734109327,0:40:01,5,5,1545,3645
734109327,0:40:01,4,4,3432,2505
734109327,0:40:01,2,5,2636,3889
734109327,0:40:01,2,5,2447,3197
734109327,0:40:01,2,4,2152,2592
734109327,0:40:01,2,4,2191,2975
734109327,0:35:01,2,2,2195,3970
734109327,0:35:01,2,4,2559,5562
734109327,0:35:01,2,5,2180,3399
734109327,0:35:01,1,4,2047,5299
734109327,0:35:01,1,5,5457,4911
734109327,0:35:01,1,5,1688,3889
734109327,0:35:01,1,5,1216,3336
734109327,0:35:01,1,5,1514,4015
734109327,0:35:01,1,5,1462,4413
734109327,0:35:01,1,5,1380,3404
734109327,0:35:01,1,5,1874,3983
734109327,0:35:01,1,5,1634,3961
734109327,0:35:01,1,5,1355,4416
512712248,0:40:01,4,5,3966,5406
512712248,0:40:01,5,4,5231,7565
512712248,0:40:01,2,3,1104,7030
512712248,0:40:01,1,3,906,4829
512712248,0:40:01,3,4,2439,4131
512712248,0:40:01,4,4,1914,5451
512712248,0:40:01,1,4,775,3740
512712248,0:40:01,5,4,1031,3576
512712248,0:40:01,5,4,1640,4303
512712248,0:40:01,2,3,3379,5694
512712248,0:40:01,3,3,2258,4437
512712248,0:40:01,4,4,1630,3538
512712248,0:40:01,5,4,1779,3704
512712248,0:40:01,2,5,3483,7646
512712248,0:40:01,2,4,2524,4365
512712248,0:35:01,4,4,2142,4225
512712248,0:35:01,5,5,1169,4692
512712248,0:35:01,2,5,1001,3253
512712248,0:35:01,2,4,2154,3786
512712248,0:35:01,3,4,2457,3676
512712248,0:35:01,5,5,1387,2977
512712248,0:35:01,3,5,1211,3286
512712248,0:35:01,5,4,2243,6620
512712248,0:35:01,4,5,5317,6899
512712248,0:35:01,5,5,1739,5098
512712248,0:35:01,5,5,1139,3448
512712248,0:35:01,5,5,1260,4619
512712248,0:35:01,5,5,4189,7306
500696096,0:40:01,5,5,4070,3404
500696096,0:40:01,4,5,9674,3822
500696096,0:40:01,3,4,3630,6017
500696096,0:40:01,3,5,3262,3447
500696096,0:40:01,3,5,7313,2580
500696096,0:40:01,3,5,11834,5775
500696096,0:40:01,3,4,3826,5663
